id,season,year,name,full_name,status,category,prize,country
753,1982-1983,1982,UK Championship,1982 UK Championship,Professional,Non-ranking,47000.0,England
1140,1982-1983,1982,World Amateur Championship - Men,1982 World Amateur Championship - Men,Amateur,World Event,0.0,Canada
762,1982-1983,1982,Professional Players Tournament,1982 Professional Players Tournament,Professional,Ranking,31500.0,England
2586,1982-1983,1982,Pontins Autumn Open,1982 Pontins Autumn Open,Pro-am,Event,0.0,Wales
754,1982-1983,1982,International Open,1982 International Open,Professional,Ranking,73500.0,England
759,1982-1983,1982,Scottish Masters,1982 Scottish Masters,Professional,Invitational,23000.0,Scotland
2444,1982-1983,1982,Australian Amateur Championship,1982 Australian Amateur Championship,Amateur,National Championship,0.0,Australia
2443,1982-1983,1982,Scottish Open Championship,1982 Scottish Open Championship,Pro-am,National Championship,0.0,Scotland
2421,1982-1983,1982,Thailand Amateur Championship,1982 Thailand Amateur Championship,Amateur,National Championship,0.0,Thailand
2549,1981-1982,1982,All-Ireland Amateur Championship,1982 All-Ireland Amateur Championship,Amateur,National Championship,0.0,Ireland
795,1982-1983,1982,Australian Masters,1982 Australian Masters,Professional,Invitational,18568.0,Australia
783,1981-1982,1982,Bass and Golden Leisure Classic,1982 Bass and Golden Leisure Classic,Professional,Invitational,1380.0,England
2558,1981-1982,1982,Pontins Spring Open,1982 Pontins Spring Open,Pro-am,Event,0.0,Wales
788,1981-1982,1982,Pontins Professional,1982 Pontins Professional,Professional,Non-ranking,10500.0,Wales
772,1981-1982,1982,World Championship,1982 World Championship,Professional,Ranking,110000.0,England
782,1981-1982,1982,Highland Masters,1982 Highland Masters,Professional,Invitational,10000.0,Scotland
2113,1981-1982,1982,Irish Amateur Championship,1982 Irish Amateur Championship,Amateur,National Championship,0.0,Ireland
2112,1981-1982,1982,Scottish Amateur Championship,1982 Scottish Amateur Championship,Amateur,National Championship,0.0,Scotland
776,1981-1982,1982,Irish Masters,1982 Irish Masters,Professional,Invitational,20413.0,Ireland
784,1981-1982,1982,Irish Professional Championship,1982 Irish Professional Championship,Professional,Non-ranking,8500.0,Northern Ireland
790,1981-1982,1982,Scottish Professional Championship,1982 Scottish Professional Championship,Professional,Non-ranking,3100.0,Scotland
2548,1981-1982,1982,Indian Amateur Championship,1982 Indian Amateur Championship,Amateur,National Championship,0.0,India
810,1981-1982,1982,International Masters,1982 International Masters,Professional,Non-ranking,35200.0,England
796,1981-1982,1982,Welsh Professional Championship,1982 Welsh Professional Championship,Professional,Non-ranking,11500.0,Wales
794,1981-1982,1982,Tolly Cobbold Classic,1982 Tolly Cobbold Classic,Professional,Invitational,8500.0,England
778,1981-1982,1982,Masters,1982 Masters,Professional,Invitational,27000.0,England
785,1981-1982,1982,Classic,1982 Classic,Professional,Invitational,15000.0,England
